CLB10606 RESOURCE11004
CLB10607 RESOURCE9576
CLB10608 RESOURCE15265
CLB10609 RESOURCE9538
CLB1061 RESOURCE14087
CLB10610 RESOURCE10031
CLB10611 RESOURCE1232
CLB10612 RESOURCE9561
CLB10613 RESOURCE6155
CLB10614 RESOURCE14758
CLB10615 RESOURCE6111
CLB10616 RESOURCE8505
CLB10617 RESOURCE8504
CLB10618 RESOURCE6142
CLB10619 RESOURCE14202
CLB1062 RESOURCE14685
CLB10620 RESOURCE8021
CLB10621 RESOURCE1726
CLB10622 RESOURCE6149
CLB10623 RESOURCE13287
CLB10624 RESOURCE8029
CLB10625 RESOURCE325
CLB10626 RESOURCE9093
CLB10627 RESOURCE2710
CLB10628 RESOURCE11638
CLB10629 RESOURCE9098
CLB1063 RESOURCE34552
CLB10630 RESOURCE17630
CLB10631 RESOURCE6578
CLB10632 RESOURCE31625
CLB10633 RESOURCE13301
CLB10634 RESOURCE51030
CLB10635 RESOURCE31201
CLB10636 RESOURCE21549
CLB10637 RESOURCE4116
CLB10638 RESOURCE38045
CLB10639 RESOURCE7582
CLB1064 RESOURCE20539
CLB10640 RESOURCE715
CLB10641 RESOURCE2227
CLB10642 RESOURCE8034
CLB10643 RESOURCE11091
CLB10644 RESOURCE766
CLB10645 RESOURCE5637
CLB10646 RESOURCE12748
CLB10647 RESOURCE5085
CLB10648 RESOURCE300
CLB10649 RESOURCE19144
CLB1065 RESOURCE23501
CLB10650 RESOURCE31136
CLB10651 RESOURCE779
CLB10652 RESOURCE4113
CLB10653 RESOURCE9144
CLB10654 RESOURCE4629
CLB10655 RESOURCE6661
CLB10656 RESOURCE8093
CLB10657 RESOURCE13765
CLB10658 RESOURCE2716
CLB10659 RESOURCE330
CLB1066 RESOURCE12654
CLB10660 RESOURCE11065
CLB10661 RESOURCE8090
CLB10662 RESOURCE7120
CLB10663 RESOURCE7135
CLB10664 RESOURCE30258
CLB10665 RESOURCE2735
CLB10666 RESOURCE743
CLB10667 RESOURCE17160
CLB10668 RESOURCE6615
CLB10669 RESOURCE29773
CLB1067 RESOURCE19618
CLB10670 RESOURCE4158
CLB10671 RESOURCE5709
CLB10672 RESOURCE8075
CLB10673 RESOURCE10098
CLB10674 RESOURCE11619
CLB10675 RESOURCE9123
CLB10676 RESOURCE4044
CLB10677 RESOURCE9631
CLB10678 RESOURCE1247
CLB10679 RESOURCE9154
CLB1068 RESOURCE24468
CLB10680 RESOURCE7183
CLB10681 RESOURCE9162
CLB10682 RESOURCE348
CLB10683 RESOURCE14250
CLB10684 RESOURCE7090
CLB10685 RESOURCE7092
CLB10686 RESOURCE765
CLB10687 RESOURCE3142
CLB10688 RESOURCE1755
CLB10689 RESOURCE12147
CLB1069 RESOURCE30618
CLB10690 RESOURCE2771
CLB10691 RESOURCE4119
CLB10692 RESOURCE7640
CLB10693 RESOURCE773
CLB10694 RESOURCE792
CLB10695 RESOURCE13257
CLB10696 RESOURCE8079
CLB10697 RESOURCE19629
CLB10698 RESOURCE10010
CLB10699 RESOURCE8490
CLB107 RESOURCE34648
CLB1070 RESOURCE23509
CLB10700 RESOURCE5621
CLB10701 RESOURCE12157
CLB10702 RESOURCE20222
CLB10703 RESOURCE790
CLB10704 RESOURCE2768
CLB10705 RESOURCE11111
CLB10706 RESOURCE6680
CLB10707 RESOURCE2223
CLB10708 RESOURCE322
CLB10709 RESOURCE3242
CLB1071 RESOURCE12656
CLB10710 RESOURCE5076
CLB10711 RESOURCE44771
CLB10712 RESOURCE4605
CLB10713 RESOURCE6643
CLB10714 RESOURCE6173
CLB10715 RESOURCE4198
CLB10716 RESOURCE10572
CLB10717 RESOURCE5151
CLB10718 RESOURCE270
CLB10719 RESOURCE303
CLB1072 RESOURCE15650
CLB10720 RESOURCE11052
CLB10721 RESOURCE9150
